name_auction	link	serial_number	hours_used	sold_price	sold_date	country
1998 ATLAS COPCO QAS108	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9308909&LP=MAT	YA360632100283781	7.135	6.500	13-6-2013 9:18:00	Netherlands
ATLAS COPCO QAS108	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9308895&LP=MAT	724641	6.741	6.500	13-6-2013 9:16:00	Netherlands
ATLAS COPCO QAS108	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9498561&LP=MAT	381866	3.528	4.500	26-9-2013 14:26:00	Netherlands
ATLAS COPCO QAS108	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9123507&LP=MAT	7111573		3.500	21-3-2013 8:27:00	Netherlands
2001 ATLAS COPCO QAS108PD	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9498571&LP=MAT	YA360632100359081	7.857	4.500	26-9-2013 14:26:00	Netherlands
2002 ATLAS COPCO QAS125	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9498555&LP=MAT	350133	813	4.000	26-9-2013 14:26:00	Netherlands
2005 ATLAS COPCO QAS150	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9498547&LP=MAT	YA360632200520477	5.729	8.000	26-9-2013 14:26:00	Netherlands
1992 ATLAS COPCO QAS150KD	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9308875&LP=MAT	ARE944717		8.000	13-6-2013 9:14:00	Netherlands
1989 ATLAS COPCO QAS150KD	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9498557&LP=MAT	ARE944599		3.500	26-9-2013 14:26:00	Netherlands
1998 ATLAS COPCO QAS180KD	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9123575&LP=MAT	ARE946117	4.643	1.750	21-3-2013 8:27:00	Netherlands
1989 ATLAS COPCO QAS275KD	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9821231&LP=MAT			7.000	28-2-2014 2:21:00	Netherlands
2001 ATLAS COPCO QAS278	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9973235&LP=MAT	YA36063230037573		7.550	9-5-2014 2:34:00	Netherlands
1998 ATLAS COPCO QAS338	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10266744&LP=MAT		5.132	6.000	26-9-2014 4:14:00	Netherlands
2006 ATLAS COPCO QAX30DD	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10266962&LP=MAT	YA306256960573050	2.672	3.750	26-9-2014 4:20:00	Netherlands
2004 AUSA 120DAH	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10095461&LP=MAT	71137545	2.067	4.750	3-7-2014 8:46:00	Netherlands
2005 AUSA 120DH	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10095453&LP=MAT	23543040		1.250	3-7-2014 8:46:00	Netherlands
2004 AUSA 120DH	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10095441&LP=MAT	23538558		1.250	3-7-2014 8:46:00	Netherlands
