name_auction	link	serial_number	sold_price	sold_date	location
2001 DAF CF65.220	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4297505&LP=TRK	Stk #Y973RRV	2.343	17-4-2013 8:29:	Groot-Brittannie
2003 DAF CF65.250	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5496722&LP=TRK		15.000	26-9-2014 4:39:	Nederland
2002 DAF CF65.250	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4618949&LP=TRK	VIN #XLRAE65CC0E579048	7.500	20-9-2013 5:28:	Spanje
1996 DAF CF75.210ATI	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5035023&LP=TRK	VIN #XLRAE75RC0E426214	5.500	19-3-2014 2:35:	Frankrijk
2001 DAF CF75.240	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5163077&LP=TRK		6.000	9-5-2014 2:32:	Nederland
1999 DAF CF75.240	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4713423&LP=TRK		6.485	29-10-2013 6:32:	Groot-Brittannie
2005 DAF CF75.250	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4930165&LP=TRK		7.888	7-2-2014 3:51:	Groot-Brittannie
2005 DAF CF75.250	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4930167&LP=TRK		7.888	7-2-2014 3:51:	Groot-Brittannie
2005 DAF CF75.250	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4930169&LP=TRK		7.888	7-2-2014 3:51:	Groot-Brittannie
2005 DAF CF75.250	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4930137&LP=TRK		6.068	7-2-2014 3:51:	Groot-Brittannie
2005 DAF CF75.250	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4930155&LP=TRK		6.068	7-2-2014 3:51:	Groot-Brittannie
2005 DAF CF75.250	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4930163&LP=TRK		6.068	7-2-2014 3:51:	Groot-Brittannie
2005 DAF CF75.250	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4393743&LP=TRK		2.923	31-5-2013 9:45:	Groot-Brittannie
2003 DAF CF75.250	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4584731&LP=TRK	VIN #XLRAE75PC0E605977	3.487	3-9-2013 3:49:	Groot-Brittannie
2001 DAF CF75.250	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5498050&LP=TRK		4.000	26-9-2014 4:31:	Nederland
2000 DAF CF75.250	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5498266&LP=TRK	VIN #XLRAS75PC0E536390	6.000	26-9-2014 4:31:	Nederland
2001 DAF CF75.260	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4424855&LP=TRK	Stk #XLRTE75PC0E575586	9.000	14-6-2013 2:33:	Nederland
2002 DAF CF75.290	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4028105&LP=TRK		6.787	14-12-2012 3:11:	Groot-Brittannie
2001 DAF CF75.290	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4662744&LP=TRK	VIN #XLRAE75PC0E538646	5.955	8-10-2013 5:55:	Groot-Brittannie
2000 DAF CF75.290	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4148193&LP=TRK	VIN #W296XGA	9.931	6-2-2013 9:02:	Groot-Brittannie
2000 DAF CF75.290	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4148185&LP=TRK	VIN #XRA575BCOB509721	8.763	6-2-2013 9:02:	Groot-Brittannie
1999 DAF CF75.290	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4148065&LP=TRK	VIN #XLRATT5PC0E503973	7.010	6-2-2013 8:37:	Groot-Brittannie
2007 DAF CF75.310	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4413151&LP=TRK	VIN #XLRAE75PC0E773222	29.000	10-6-2013 5:37:	Spanje
2007 DAF CF75.310	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5432437&LP=TRK	VIN #XLRAT75P00E654397	16.959	5-9-2014 6:14:	Groot-Brittannie
2006 DAF CF75.310	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4417225&LP=TRK	VIN #XLRAT75PC0E704910	18.000	11-6-2013 7:21:	Spanje
2006 DAF CF75.310	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5084549&LP=TRK		16.961	11-4-2014 3:17:	Groot-Brittannie
2005 DAF CF75.310	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4932701&LP=TRK		17.597	7-2-2014 3:30:	Groot-Brittannie
2005 DAF CF75.310	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5228869&LP=TRK	VIN #XLRAT75PC0E700922	17.500	5-6-2014 8:55:	Spanje
2005 DAF CF75.310	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4034293&LP=TRK	VIN #XLRAE75PC0E652949	17.000	11-12-2012 9:51:	Italie
2005 DAF CF75.310	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5432541&LP=TRK	VIN #XLRAS759L0E667295	10.678	4-9-2014 11:03:	Groot-Brittannie
2004 DAF CF75.310	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4233827&LP=TRK	VIN #XLRAE75PC0E624048	20.500	20-3-2013 6:31:	Frankrijk
2004 DAF CF75.310	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4932645&LP=TRK		18.204	7-2-2014 3:34:	Groot-Brittannie
2004 DAF CF75.310	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5214929&LP=TRK	VIN #XLRAG7SPC0E637408	4.009	2-6-2014 3:48:	Groot-Brittannie
2003 DAF CF75.310	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4233829&LP=TRK	VIN #XLRAE75PC0E62	20.500	20-3-2013 6:36:	Frankrijk
2003 DAF CF75.310	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5084551&LP=TRK	VIN #620776	10.903	11-4-2014 3:17:	Groot-Brittannie
2003 DAF CF75.310	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4932679&LP=TRK		10.922	7-2-2014 3:34:	Groot-Brittannie
2002 DAF CF75.310	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4202023&LP=TRK	VIN #XLRAE75PC0E593347	15.000	7-3-2013 8:24:	Italie
2002 DAF CF75.310	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4148613&LP=TRK	VIN #RAS75PCOE590260	14.020	6-2-2013 10:41:	Groot-Brittannie
2002 DAF CF75.310	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5214881&LP=TRK	VIN #XLRAS7SPC0ES77257	7.403	2-6-2014 3:46:	Groot-Brittannie
1994 DAF CF75.310	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5160985&LP=TRK	VIN #XLRAS75RC0E402513	11.000	9-5-2014 4:30:	Nederland
2001 DAF CF75.320	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4148063&LP=TRK	VIN #01LK6737	8.763	6-2-2013 8:36:	Groot-Brittannie
1999 DAF CF75.320	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4618829&LP=TRK	VIN #XLRAS75PC0E491406	12.500	20-9-2013 5:21:	Spanje
1998 DAF CF75.320	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=3912703&LP=TRK	VIN #WLRAT75PCOE480917	12.500	31-10-2012 9:39:	Spanje
2006 DAF CF75.360	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5529943&LP=TRK	VIN #XLRAS75PC0E703370	30.598	7-10-2014 4:35:	Northern Ireland, Groot-Brittannie
2005 DAF CF75.360	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4932703&LP=TRK		17.597	7-2-2014 3:30:	Groot-Brittannie
2004 DAF CF75.360	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4147915&LP=TRK	VIN #E663770	4.381	6-2-2013 7:07:	Groot-Brittannie
2003 DAF CF75.360	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5214921&LP=TRK	VIN #E599384	20.975	2-6-2014 3:47:	Groot-Brittannie
2002 DAF CF75.360	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4859673&LP=TRK	VIN #XLRAE75PC0E569582	6.000	31-12-2013 2:48:	Italie
2002 DAF CF75.360	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4148071&LP=TRK	VIN #XLRTE75PC0E570623	5.842	6-2-2013 8:38:	Groot-Brittannie
2006 DAF CF85.340	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4932741&LP=TRK	VIN #XLRAD85XC0E726849	23.665	7-2-2014 3:30:	Groot-Brittannie
